model,assertions_passed,assertions_total,pass_rate
anthropic/claude-opus-4-5@20251101,30,30,1.0
anthropic/claude-opus-4-6@default,30,30,1.0
anthropic/claude-sonnet-4-5@20250929,30,30,1.0
anthropic/claude-sonnet-4-6@default,30,30,1.0
deepseek-ai/deepseek-v3.1,30,30,1.0
deepseek-ai/deepseek-r1-0528,30,30,1.0
google/gemini-2.0-flash-lite,30,30,1.0
deepseek-ai/deepseek-v3.2,30,30,1.0
google/gemini-3.1-pro-preview,30,30,1.0
google/gemini-3-flash-preview,30,30,1.0
google/gemini-3.1-flash-lite-preview,30,30,1.0
openai/gpt-5.4-mini-2026-03-17,30,30,1.0
google/gemma-4-26b-a4b,30,30,1.0
google/gemma-4-31b,30,30,1.0
openai/gpt-5.4-2026-03-05,30,30,1.0
google/gemma-3-27b,30,30,1.0
zai/glm-5,30,30,1.0
qwen/qwen3-coder-480b-a35b-instruct,30,30,1.0
qwen/qwen3-next-80b-a3b-thinking,30,30,1.0
openai/gpt-oss-20b,30,30,1.0
qwen/qwen3-next-80b-a3b-instruct,30,30,1.0
qwen/qwen3-235b-a22b-instruct-2507,29,30,0.967
openai/gpt-oss-120b,29,30,0.967
anthropic/claude-haiku-4-5@20251001,27,30,0.9
google/gemma-3-12b,27,30,0.9
google/gemini-2.5-pro,27,30,0.9
google/gemini-2.0-flash,27,30,0.9
google/gemini-2.5-flash,27,30,0.9
openai/gpt-5.4-nano-2026-03-17,27,30,0.9
anthropic/claude-sonnet-4@20250514,26,30,0.867
google/gemma-3-4b,22,30,0.733
google/gemma-3-1b,5,30,0.167
